     site  yield          wt      variety 
   1    1 3.3260   7.1814634 (WqKPWmH*3Ag
   2    1 3.2960   1.8181248   24IBWSN005
   3    1 3.1440   1.8257812   24IBWSN006
   4    1 3.0970   1.8261420   24IBWSN012
   5    1 2.6790   1.7686923   24IBWSN185
   6    1 3.0330   1.8441096   24IBWSN222
   7    1 3.1330   1.8110676   24IBWSN228
   8    1 2.8740   1.8252065   24IBWSN267
   9    1 2.7970   1.8230522   24IBWSN288
  10    1 3.1240   1.7940417   25IBWSN001
  11    1 3.5840   1.5504208   25IBWSN067
  12    1 3.4910   1.7210998   25IBWSN070
  13    1 3.1260   1.8145974   25IBWSN243
  14    1 3.2280   1.7214199      385W108
  15    1 3.2630   1.7209658       385W89
  16    1 3.4220   1.8216770      386W327
  17    1 3.3070   1.8260170      386W372
  18    1 3.4330   1.8150497      386W373
  19    1 3.4100   1.8289693      386W443
  20    1 3.3170   1.8265788      485WW38
  21    1 3.3190   1.8220235      486W124
  22    1 2.9080   1.8369527      486W175
  23    1 3.5330   1.8194706     486WW197
  24    1 3.2430   1.8539918      487W100
  25    1 3.7040   1.8221219       487W77
  26    1 3.5020   1.8302200     83Y:1308
  27    1 2.7190   1.8098945     84Y:1426
  28    1 3.3120   1.8255680     84Y:1430
  29    1 3.4160   1.8253401     85W:1487
  30    1 3.2090   1.8281953     85Z:1379
  31    1 2.9610   1.8259658     86Z:1484
  32    1 3.1440   1.8207649     86Z:1494
  33    1 2.9070   7.3020228      BARUNGA
  34    1 3.3680   1.8272689   CO3440-815
  35    1 3.2630   1.8260141   CO3603-103
  36    1 3.4000   1.7585794   CO3617-046
  37    1 3.6410   1.8257251   CO3644-207
  38    1 3.6580   1.8217052   CO3644-208
  39    1 3.2910   1.8168902   CO3644-222
  40    1 3.2680   1.8120942   CO3645-213
  41    1 3.0040   1.8204168   CO3938-011
  42    1 3.1800   1.8255341   CO3938-027
  43    1 3.1810   1.8097163   CO3958-001
  44    1 3.2460   1.8276000   CO4015-108
  45    1 3.0650   1.8262927   CO4025-221
  46    1 3.3240   1.8488421   CO4040-204
  47    1 3.2660   1.8100636   CO4101-321
  48    1 3.1420   1.8277185   CO4101-338
  49    1 2.9220   1.8257770   CO4102-317
  50    1 2.9910   1.8533923   CO4106-301
  51    1 3.4840   1.8385372   CO4108-310
  52    1 2.8350   1.8279737   CO4108-314
  53    1 3.2130   1.8266125   CO4109-311
  54    1 2.9200   1.7646781   CO4109-318
  55    1 2.8680   1.8217725   CO4110-303
  56    1 2.6630   1.7203991   CO4110-308
  57    1 2.8370   1.8318361   CO4110-309
  58    1 2.6320   1.8146418   CO4110-313
  59    1 2.9630   1.8278597   CO4110-314
  60    1 3.0300   1.7210069   CO4110-316
  61    1 2.9360   1.8305670   CO4110-321
  62    1 2.7930   1.8345415   CO4112-306
  63    1 3.0350   1.8306083   CO4113-314
  64    1 3.0490   1.8075306   CO4113-316
