Replication,Locations,Variety,Phenotype
1,1,1,-2.316516483
1,1,2,-2.294280218
1,1,3,-0.575182044
1,1,4,1.030732407
1,1,5,0.602034386
1,1,6,0.150848235
1,1,7,-0.034519343
1,1,8,0.173012184
1,1,9,0.007278785
1,1,10,-1.468975656
1,1,11,-2.599406762
1,1,12,1.519601594
1,1,13,-2.652814567
1,1,14,-3.795581691
1,1,15,-4.535262601
1,1,16,1.238287796
1,1,17,-1.77635016
1,1,18,-2.457086563
1,1,19,-1.648983413
1,1,20,-2.405369027
1,1,21,-3.138759213
1,1,22,-0.239064179
1,1,23,0.379291498
1,1,24,-1.196132882
1,1,25,0.112431007
1,1,26,-0.595034668
1,1,27,-2.438861239
1,1,28,-0.715543784
1,1,29,-1.837137299
1,1,30,-0.734207582
1,1,31,-1.832689305
1,1,32,-0.167354136
1,1,33,-3.262746303
1,1,34,-0.276520653
1,1,35,-1.500130389
1,1,36,-3.554329752
1,1,37,-1.085927868
1,1,38,-1.492667948
1,1,39,1.26427334
1,1,40,0.334119161
1,1,41,-2.101582771
1,1,42,-3.050030859
1,1,43,-1.306876042
1,1,44,-0.136731048
1,1,45,-2.692937747
1,1,46,-0.713037808
1,1,47,-4.20251934
1,1,48,0.227883992
1,1,49,-0.922893216
1,1,50,1.043795692
1,1,51,1.505929475
1,1,52,3.639559662
1,1,53,1.851242338
1,1,54,-1.285700692
1,1,55,-2.103630959
1,1,56,0.499478801
1,1,57,-1.816412368
1,1,58,-0.036508723
1,1,59,-0.313859761
1,1,60,0.460660947
1,1,61,1.989245093
1,1,62,2.556309737
1,1,63,-1.042121994
1,1,64,2.395462278
1,1,65,3.73611716
1,1,66,0.903124084
1,1,67,-0.634856375
1,1,68,0.830569486
1,1,69,-1.863657442
1,1,70,3.826012124
1,1,71,0.696344092
1,1,72,0.623988108
1,1,73,2.529281686
1,1,74,-3.060233717
1,1,75,-0.966341977
1,1,76,-0.70502525
1,1,77,-1.925870141
1,1,78,-1.129499737
1,1,79,0.519715112
1,1,80,0.288285307
1,1,81,2.217311336
1,1,82,2.43607897
1,1,83,0.704968123
1,1,84,2.128884319
1,1,85,-1.524808008
1,1,86,-1.907221405
1,1,87,-0.585016182
1,1,88,2.564182533
1,1,89,-0.099655695
1,1,90,0.593786105
1,1,91,1.075000486
1,1,92,0.289106057
1,1,93,-0.702120921
1,1,94,0.463942897
1,1,95,-0.000692899
1,1,96,1.118293652
1,1,97,-0.110346341
1,1,98,-0.09005001
1,1,99,-0.20345741
1,1,100,0.843242487
1,1,101,-1.347048973
1,1,102,-3.772792391
1,1,103,-0.932665777
1,1,104,-1.698804619
1,1,105,-1.801356981
1,1,106,-0.680016213
1,1,107,-1.784735628
1,1,108,0.388855594
1,1,109,-1.560945168
1,1,110,-1.476807262
1,1,111,-2.304070809
1,1,112,1.161328907
1,1,113,0.515269395
1,1,114,-1.173748963
1,1,115,-1.305211219
1,1,116,0.692471115
1,1,117,-1.600437528
1,1,118,0.156243085
1,1,119,-3.113176341
1,1,120,0.361474575
2,1,1,-0.275187534
2,1,2,-3.266709777
2,1,3,-0.465752475
2,1,4,1.48723151
2,1,5,0.248195651
2,1,6,-0.90326883
2,1,7,0.864269385
2,1,8,-1.470404796
2,1,9,1.054585687
2,1,10,-0.28512608
2,1,11,-2.096359056
2,1,12,-1.368499903
2,1,13,-0.795177337
2,1,14,-4.827547154
2,1,15,-0.616775472
2,1,16,1.738397831
2,1,17,-3.626978146
2,1,18,-2.653831575
2,1,19,0.417657772
2,1,20,-0.59241596
2,1,21,-3.503146041
2,1,22,-1.140094249
2,1,23,1.970607302
2,1,24,-1.406444546
