location,rep,block,plot,RIL,height
ARC,1,1,1,RIL-53,184.8
ARC,1,1,2,RIL-40,225.2
ARC,1,1,4,RIL-41,174.4
ARC,1,1,5,RIL-28,147.6
ARC,1,1,6,RIL-11,181.6
ARC,1,1,7,RIL-60,197.2
ARC,1,1,8,RIL-32,188.4
ARC,1,2,9,RIL-44,165.6
ARC,1,2,10,RIL-62,192.8
ARC,1,2,11,RIL-26,205.6
ARC,1,2,12,RIL-15,199.6
ARC,1,2,13,RIL-86,170.8
ARC,1,2,14,RIL-49,176.4
ARC,1,2,15,RIL-6,212.4
ARC,1,2,16,RIL-91,184
ARC,1,3,17,RIL-87,198.4
ARC,1,3,18,RIL-14,205.2
ARC,1,3,19,RIL-21,172.4
ARC,1,3,20,RIL-75,219.2
ARC,1,3,22,RIL-8,170.8
ARC,1,3,23,RIL-16,178
ARC,1,3,24,RIL-42,210
ARC,1,4,25,RIL-74,168.4
ARC,1,4,26,RIL-79,176.4
ARC,1,4,27,RIL-66,204.8
ARC,1,4,28,RIL-1,182
ARC,1,4,29,RIL-43,222.8
ARC,1,4,30,RIL-37,166.4
ARC,1,4,31,RIL-3,216
ARC,1,4,32,RIL-25,196.4
ARC,1,5,33,RIL-48,162.8
ARC,1,5,34,RIL-7,222
ARC,1,5,35,RIL-57,207.2
ARC,1,5,36,RIL-50,203.2
ARC,1,5,37,RIL-30,232.4
ARC,1,5,38,RIL-5,157.6
ARC,1,5,39,RIL-36,181.2
ARC,1,5,40,RIL-63,178.8
ARC,1,6,41,RIL-81,176.4
ARC,1,6,42,RIL-47,184.8
ARC,1,6,43,RIL-4,164
ARC,1,6,44,RIL-34,186
ARC,1,6,45,RIL-71,166.8
ARC,1,6,46,RIL-27,184.5
ARC,1,6,47,RIL-23,149.6
ARC,1,6,48,RIL-72,189.6
ARC,1,7,49,RIL-33,209.2
ARC,1,7,50,RIL-68,206.6666667
ARC,1,7,51,RIL-69,194
ARC,1,7,52,RIL-12,192
ARC,1,7,53,RIL-22,172
ARC,1,7,54,RIL-94,189.6
